5.50;0.33;4.20;0.91;1.40;0.06;0.20;0.04;"setosa"
4.90;0.16;3.10;0.45;1.50;0.08;0.20;0.04;"setosa"
5.00;0.19;3.20;0.50;1.20;0.03;0.20;0.04;"setosa"
5.50;0.33;3.50;0.62;1.30;0.05;0.20;0.04;"setosa"
4.90;0.16;3.60;0.66;1.40;0.06;0.10;0.01;"setosa"
4.40;0.02;3.00;0.41;1.30;0.05;0.20;0.04;"setosa"
5.10;0.22;3.40;0.58;1.50;0.08;0.20;0.04;"setosa"
5.00;0.19;3.50;0.62;1.30;0.05;0.30;0.08;"setosa"
4.50;0.05;2.30;0.12;1.30;0.05;0.30;0.08;"setosa"
4.40;0.02;3.20;0.50;1.30;0.05;0.20;0.04;"setosa"
5.00;0.19;3.50;0.62;1.60;0.10;0.60;0.20;"setosa"
5.10;0.22;3.80;0.75;1.90;0.15;0.40;0.12;"setosa"
4.80;0.13;3.00;0.41;1.40;0.06;0.30;0.08;"setosa"
5.10;0.22;3.80;0.75;1.60;0.10;0.20;0.04;"setosa"
4.60;0.08;3.20;0.50;1.40;0.06;0.20;0.04;"setosa"
5.30;0.27;3.70;0.70;1.50;0.08;0.20;0.04;"setosa"
5.00;0.19;3.30;0.54;1.40;0.06;0.20;0.04;"setosa"
5.40;0.30;3.00;0.41;4.50;0.59;1.50;0.58;"versicolor"
6.00;0.47;3.40;0.58;4.50;0.59;1.60;0.62;"versicolor"
6.70;0.66;3.10;0.45;4.70;0.62;1.50;0.58;"versicolor"
6.30;0.55;2.30;0.12;4.40;0.57;1.30;0.50;"versicolor"
5.60;0.36;3.00;0.41;4.10;0.52;1.30;0.50;"versicolor"
5.50;0.33;2.50;0.20;4.00;0.50;1.30;0.50;"versicolor"
5.50;0.33;2.60;0.25;4.40;0.57;1.20;0.45;"versicolor"
6.10;0.50;3.00;0.41;4.60;0.61;1.40;0.54;"versicolor"
5.80;0.41;2.60;0.25;4.00;0.50;1.20;0.45;"versicolor"
5.00;0.19;2.30;0.12;3.30;0.38;1.00;0.37;"versicolor"
5.60;0.36;2.70;0.29;4.20;0.54;1.30;0.50;"versicolor"
5.70;0.38;3.00;0.41;4.20;0.54;1.20;0.45;"versicolor"
5.70;0.38;2.90;0.37;4.20;0.54;1.30;0.50;"versicolor"
6.20;0.52;2.90;0.37;4.30;0.55;1.30;0.50;"versicolor"
5.10;0.22;2.50;0.20;3.00;0.33;1.10;0.41;"versicolor"
5.70;0.38;2.80;0.33;4.10;0.52;1.30;0.50;"versicolor"
6.30;0.55;2.80;0.33;5.10;0.69;1.50;0.58;"virginica"
6.10;0.50;2.60;0.25;5.60;0.77;1.40;0.54;"virginica"
7.70;0.94;3.00;0.41;6.10;0.86;2.30;0.91;"virginica"
6.30;0.55;3.40;0.58;5.60;0.77;2.40;0.95;"virginica"
6.40;0.58;3.10;0.45;5.50;0.76;1.80;0.70;"virginica"
6.00;0.47;3.00;0.41;4.80;0.64;1.80;0.70;"virginica"
6.90;0.72;3.10;0.45;5.40;0.74;2.10;0.83;"virginica"
6.70;0.66;3.10;0.45;5.60;0.77;2.40;0.95;"virginica"
6.90;0.72;3.10;0.45;5.10;0.69;2.30;0.91;"virginica"
5.80;0.41;2.70;0.29;5.10;0.69;1.90;0.75;"virginica"
6.80;0.69;3.20;0.50;5.90;0.83;2.30;0.91;"virginica"
6.70;0.66;3.30;0.54;5.70;0.79;2.50;0.99;"virginica"
6.70;0.66;3.00;0.41;5.20;0.71;2.30;0.91;"virginica"
6.30;0.55;2.50;0.20;5.00;0.67;1.90;0.75;"virginica"
6.50;0.61;3.00;0.41;5.20;0.71;2.00;0.79;"virginica"
6.20;0.52;3.40;0.58;5.40;0.74;2.30;0.91;"virginica"
5.90;0.44;3.00;0.41;5.10;0.69;1.80;0.70;"virginica"
